time,biorep,donor,rep,sample_id
-2,4,D1G,0,1.KD4NT_S1
-2,5,D1G,1,2.KD5NT_S2
0,5,D1G,1,3.P5D0_S3
1,5,D1G,1,4.P5D1_S4
3,5,D1G,1,5.P5D3_S5
9,5,D1G,1,6.P5D9_S6
-2,6,D1G,2,7.KD6NT_S7
0,6,D1G,2,8.P6D0_S8
1,6,D1G,2,9.P6D1_S9
3,6,D1G,2,10.P6D3_S10
9,6,D1G,2,11.P6D9_S11
-2,3,D1G,3,12.KD3NT_S12
0,8,D1G,3,13.P8D0_S13
1,8,D1G,3,14.P8D1_S14
3,8,D1G,3,15.P8D3_S15
9,8,D1G,3,16.P8D9_S16
